Name,Latitude,Longitude,Address1,Address2,Address3,Town,Region,PostalCode,CountryCode,Stage,Type,NumberOfAccessPoints,Accessibility,Protection,GovroamEnabled
Leeds Central Library,53.80033801,-1.548701341,Calverley Street,,,Leeds,West Yorkshire,LS1 3AB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Technorth Family Learning Centre,53.8252492,-1.534391721,9 Harrogate Road,,,Leeds,West Yorkshire,LS7 3NB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Chapel Allerton Library,53.82874729,-1.537532594,106 Harrogate Road,Chapel Allerton,,Leeds,West Yorkshire,LS7 4LZ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Chapeltown Children's Centre,53.81199386,-1.529704399,62 Leopold Street,Chapeltown,,Leeds,West Yorkshire,LS7 4AW,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Leeds City Museum,53.80161266,-1.546908629,Millenium Square,,,Leeds,West Yorkshire,LS2 8BH,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Cottingley Children's Centre,53.76823713,-1.5818308,Cottingley Drive,,,Leeds,West Yorkshire,LS11 0JP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Cottingley Court Transitional Housing Unit,53.76757181,-1.581009556,Cottingley Court,Cottingley Approach,,Leeds,West Yorkshire,LS11 0HP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Crossgates Library,53.80758972,-1.45316624,Farm Road,Crossgates,,Leeds,West Yorkshire,LS15 7LB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Crossgates Community Centre,53.80756916,-1.461965256,Maryfield Avenue,Crossgates,,Leeds,West Yorkshire,LS15 7TU,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Gipton South Children's Centre,53.80704201,-1.491077552,Coldcotes Grove,Gipton,,Leeds,West Yorkshire,LS9 6QJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Dolphin Manor Care Home,53.74719,-1.48622,Stone Brig Ln,Rothwell,,Leeds,West Yorkshire,LS26 0UD,GB,,,,,,
Deacon House,53.82303848,-1.45986516,1 Seacroft Avenue,,,Leeds,West Yorkshire,LS14 6JD,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Dewsbury Road One Stop Centre and Library,53.77903662,-1.54564239,Dewbury Road,,,Leeds,West Yorkshire,LS11 6PF,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Doreen Hamilton Early Years Centre,53.7975474,-1.495181203,129 Rookwood Road,,,Leeds,West Yorkshire,LS9 0LX,GB,Active,SingleSpot,,No Restrictions,WPA2,1
