Name,Latitude,Longitude,Address1,Address2,Address3,Town,Region,PostalCode,CountryCode,Stage,Type,NumberOfAccessPoints,Accessibility,Protection,GovroamEnabled
Wykebeck Valley Road Day Centre,53.80671741,-1.487641399,Wykebeck Valley Road,,,Leeds,West Yorkshire,LS9 6NR,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Yeadon Library and One Stop Centre,53.86607667,-1.684114752,Town Hall Square,Yeadon,,Leeds,West Yorkshire,LS19 7PP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Yeadon Community Health Centre,53.86522254,-1.684020117,17 S View Road,Yeadon,,Leeds,West Yorkshire,LS19 7PS,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Yeadon Tarn,53.86969643,-1.673554459,Off Cemetary Road,Yeadon,,Leeds,West Yorkshire,LS19 7TF,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Leeds YOS,53.77843262,-1.533616909,Youth Justice Centre,Church street,,Leeds,West Yorkshire,LS10 2AY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Spring Gardens Home for Older People,53.90079921,-1.709257321,Westbourne Grove,Otley,,Leeds,West Yorkshire,LS21 3LJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Temple Newsham House,53.78434008,-1.459725976,Temple Newsham road,,,Leeds,West Yorkshire,LS15 0AE,GB,Active,SingleSpot,,No Restrictions,WPA2,1
The Green Home for Older People,53.81961898,-1.460222335,The Green,Seacroft,,Leeds,West Yorkshire,LS14 6JW,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Leeds City Council Fleet Services,53.79947442,-1.510948539,77 Torre Road,,,Leeds,West Yorkshire,LS9 7QL,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Tribeca House,53.81019101,-1.528548479,Roundhay Road,,,Leeds,West Yorkshire,LS7 3BE,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Vale Circles,53.7759859,-1.543244958,Tunstall Road,,,Leeds,West Yorkshire,LS11 5JF,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Westfield Chambers,53.78388613,-1.598433018,Lower Wortley Road,,,Leeds,West Yorkshire,LS12 4PX,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Woodsley Green Skills Centre,53.80744189,-1.56672895,Woodsley Green,,,Leeds,West Yorkshire,LS6 1SD,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Suffolk Court Yeadon Extra Care,53.86658244,-1.683818689,Silver Lane surgery,1 suffolk Court,,Leeds,West Yorkshire,LS19 7JN,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Beeston Road Adult Social Care,53.78098315,-1.553115964,Beeston Road,,,Leeds,West Yorkshire,LS11 8ND,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Holbeck and City Childrens Centre,53.78137606,-1.547222972,Disraeli Terrace,,,Leeds,West Yorkshire,LS11 6TT,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Hunslet Hall,53.78184527,-1.547688961,Hunslet Hall Road,,,Leeds,West Yorkshire,LS11 6UA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Hunslet Childrens Centre,53.77736941,-1.529058439,St Marys C Of E Primary School,Church street,,Leeds,West Yorkshire,LS10 2QY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Calverlands Day Centre,53.84069579,-1.640251746,Church Lane,Horsforth,,Leeds,West Yorkshire,LS18 5LA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Assisted Living Leeds,53.78950753,-1.530461108,Clarence Road,,,Leeds,West Yorkshire,LS10 1LZ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Knowsthorpe Gate,53.78482256,-1.501115352,Knowsthorpe Gate,,,Leeds,West Yorkshire,LS9 0NP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Cross Heath Grove IL,53.7713,-1.5749,Crow Nest Mews,,,Leeds,West Yorkshire,LS11 8JQ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Easdale Childrens Home,53.81927877,-1.470190788,Easdale close,,,Leeds,West Yorkshire,LS14 6QF,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Inner East Cluster Family Resource Centre,53.80165545,-1.52768626,Licoln Fields Centre,Cromwell street,,Leeds,West Yorkshire,LS9 7SG,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Enterprise House,53.7981437,-1.550734605,12 St Paul's street,,,Leeds,West Yorkshire,LS1 2LE,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Farfield Drive Independent Living Centre,53.8106,-1.6788,Farfield Drive,Pudsey,,Leeds,West Yorkshire,LS28 5HN,GB,Active,SingleSpot,,No Restrictions,WPA2,1
West Leeds Contact Centre,53.82272405,-1.593677382,Foxcroft Mount,,,Leeds,West Yorkshire,LS6 3NT,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Frederick Hurdle Day Centre,53.816994,-1.532117,Chapeltown Road,,,Leeds,West Yorkshire,LS7 3EX,GB,Active,SingleSpot,,No Restrictions,WPA2,1
West Leeds Family Resource Centre,53.81806023,-1.630574118,Ganners Green,,,Leeds,West Yorkshire,LS13 2PD,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Mears Office-Great Eastern House,53.7717,-1.5171,Off Wakefield Road,,,Leeds,West Yorkshire,LS10 3DQ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Hawksworth Wood community Association,53.8287,-1.616,Broadway,,,Leeds,West Yorkshire,LS5 3PR,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Henshaw Lane Bin Depot,53.85859136,-1.686739769,Green Lane,Yeadon,,Leeds,West Yorkshire,LS19 7BY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Killingbeck Court,53.81270236,-1.46924901,Brathay Gardens,,,Leeds,West Yorkshire,LS14 6DF,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Lanshaw Childrens Home,53.7512247,-1.529682994,Lanshaw Crescent,,,Leeds,West Yorkshire,LS10 3NN,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Lazer Childrens Centre,53.81066912,-1.606621027,Lenhurst Avenue,,,Leeds,West Yorkshire,LS12 2RE,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Lingfield Childrens Home,53.84892408,-1.547254762,Lingfield Approach,,,Leeds,West Yorkshire,LS17 7HL,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Little London Childrens Centre,53.80882523,-1.540025711,Meanwood Road,,,Leeds,West Yorkshire,LS7 1SR,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Lovell Park Hub,53.80570239,-1.53671205,Lovell Park View,,,Leeds,West Yorkshire,LS7 1DA,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Meanwood Children's Centre,53.82439059,-1.547124028,Potternewton View,,,Leeds,West Yorkshire,LS7 2DW,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Middleton Under 3 Children Centre,53.7410816,-1.548136247,100 Middleton Park Avenue,,,Leeds,West Yorkshire,LS10 4HY,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Laurel Bank Day Centre,53.74064694,-1.54783584,100 Middleton Park Avenue,,,Leeds,West Yorkshire,,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Middleton Health Centre,53.7430231,-1.546650052,Acre Close,Middleton,,Leeds,West Yorkshire,LS10 4HX,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Millshaw,53.76634616,-1.578377962,Millshaw Park Way,,,Leeds,West Yorkshire,,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Museum Discovery Centre,53.78874202,-1.530914254,Carlisle Road,,,Leeds,West Yorkshire,LS10 1LB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
New Bewerley Children's Centre,53.77996706,-1.546842166,Bismarck Drive,,,Leeds,West Yorkshire,LS11 6TB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Nowell Mount,53.80256751,-1.506956966,Nowell Mount,,,Leeds,West Yorkshire,LS9 6JJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Pinfolds Childrens Centre,53.7999,-1.4659,Field Terrace,,,Leeds,West Yorkshire,LS15 7RE,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Potternewton Childrens Centre,53.82438021,-1.5471,Potternewton View,,,Leeds,West Yorkshire,LS7 2DW,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Rainbow House Children's Centre,53.81255887,-1.617056038,Victoria Park Avenue,,,Leeds,West Yorkshire,LS13 2HP,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Ireland Wood Childrens Centre,53.85198565,-1.604666472,Raynel Gardens,,,Leeds,West Yorkshire,LS16 6BR,GB,Active,SingleSpot,,No Restrictions,WPA2,1
The Reginald Centre,53.817709,-1.5317,Reginald terrace,Chapeltown,,Leeds,West Yorkshire,LS7 3EZ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Richmond Hill NHO,53.79442603,-1.523034518,Walter Crescent,,,Leeds,West Yorkshire,LS9 8NG,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Richmond House Care Home,53.80867721,-1.678724898,Richmond Road,Pudsey,,Leeds,West Yorkshire,LS28 5ST,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Rothwell Fulfilling Lives Home for Older People,53.75605669,-1.461077145,Holmsley Lane,Woodlesford,,Leeds,West Yorkshire,LS26 8SD,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Rutland Lodge,53.82466071,-1.539861197,Potternewton Lane,,,Leeds,West Yorkshire,LS7 3DF,GB,Active,SingleSpot,,No Restrictions,WPA2,1
SEC Swillington,53.7628,-1.4149,Astley Way,Swillington,,Leeds,West Yorkshire,LS26 8XT,GB,Active,SingleSpot,,No Restrictions,WPA2,1
SKiLs- Lingfield Childrens Centre,53.8491534,-1.544402682,Lingfield Drive,,,Leeds,West Yorkshire,LS17 7HF,GB,Active,SingleSpot,,No Restrictions,WPA2,1
South Leeds Independent Centre,53.76847508,-1.556463502,2 Atha Crescent,,,Leeds,west Yorkshire,LS11 7DB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Scott Hall Emergency Respite Centre,53.82438021,-1.547066472,Potternewton View,,,Leeds,West Yorkshire,LS7 2DW,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Shannon House,53.8310751,-1.60378408,Spen Lane,,,Leeds,West Yorkshire,LS16 5EJ,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Shepherds Lane Early Years Centre,53.81468427,-1.51960221,Shepherds Lane,,,Leeds,West yorkshire,LS8 5AN,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Leeds Town Hall,53.80014278,-1.549834137,The Headrow,,,Leeds,West Yorkshire,LS1 3AD,GB,Active,SingleSpot,,No Restrictions,WPA2,1
Merrion House,53.80266028,-1.545121551,Merrion Way,,,Leeds,West Yorkshire,LS2 8BB,GB,Active,SingleSpot,,No Restrictions,WPA2,1
